,Inventory Site,Item Number,Item Type,Asset Value,Inventory QTY,Physical QTY,Inventory Asset,Physical Asset,Variance QTY,Difference
349,Piscataway,359,Ingredient ,92.79,79.9,110.0,7413.921000000001,10206.900000000001,30.099999999999994,2792.9790000000003
350,Piscataway,MIN010FT,Finish Good ,13.32,1177.0,1412.0,15677.640000000001,18807.84,235.0,3130.199999999999
351,Piscataway,00161G(B),Packaging,0.03,788370.0,908900.0,23651.1,27267.0,120530.0,3615.9000000000015
352,Piscataway,001693G(B),Packaging,0.03,93000.0,216000.0,2790.0,6480.0,123000.0,3690.0
353,Piscataway,00189B,Packaging,0.01,196320.0,883440.0,1963.2,8834.4,687120.0,6871.2
354,H&F,P10151Y,Yogurt,2.47,3662.5,5200.0,9046.375,12844.000000000002,1537.5,3797.625000000002
355,Piscataway,T10181FT,Finish Good ,6.06,761.0,1419.0,4611.66,8599.14,658.0,3987.4799999999996
356,Piscataway,58,Packaging,0.1,192902.0,236000.0,19290.2,23600.0,43098.0,4309.799999999999
357,Piscataway,325,Ingredient ,1.45,173898.0,177000.0,252152.1,256650.0,3102.0,4497.899999999994
358,Piscataway,00112G,Packaging,0.03,300.0,171450.0,9.0,5143.5,171150.0,5134.5
359,E-Comm,T10136FT,Finish Good ,5.57,-17.0,990.0,-94.69,5514.3,1007.0,5608.99
360,Piscataway,357,Ingredient ,2.45,116558.0,119064.0,285567.10000000003,291706.80000000005,2506.0,6139.700000000012
361,Piscataway,F10037FT,Finish Good ,15.58,286.0,781.0,4455.88,12167.98,495.0,7712.099999999999
362,Penn Dairy,351,Ingredient ,0.67,4979.33,20130.0,3336.1511,13487.1,15150.67,10150.9489
363,Piscataway,T10010FT,Finish Good ,4.52,2316.0,5384.0,10468.32,24335.679999999997,3068.0,13867.359999999997
364,Piscataway,00161G(B),Packaging,0.02,117450.0,908900.0,2349.0,18178.0,791450.0,15829.0
365,Penn Dairy,495,Ingredient ,51.13,778.72,1547.68,39815.9536,79132.8784,768.96,39316.9248
