Inventory Site,Item Number,Item Type,Asset Value,Inventory QTY,Physical QTY
Piscataway,00134COR,Packaging,0.54,1650,1650
Piscataway,001694G,Packaging,0.02,40500,40500
Piscataway,001695G,Packaging,0.03,98550,98550
Piscataway,001812A,Packaging,0.01,16360,16360
Piscataway,1881,Packaging,0,742500,742500
Piscataway,00189C,Packaging,0.01,850720,850720
Piscataway,190,Packaging,0.33,15330,15330
Piscataway,001901b,Packaging,0.26,4900,4900
Piscataway,CTNSAVSFT,Finish Good ,89.71,878,878
Piscataway,001994B,Packaging,0.26,8260,8260
Piscataway,001996B,Packaging,0.24,19180,19180
Piscataway,226,Ingredient ,22.14,150,150
Piscataway,228,Ingredient ,23.38,109.5,109.5
Piscataway,232,Ingredient ,15.54,271.3,271.3
Piscataway,394,Ingredient ,40.05,120,120
Piscataway,492,Ingredient ,1.64,13500,13500
Piscataway,501,Packaging,1.84,2340,2340
Piscataway,T10340FT,Finish Good ,6.15,840,840
Piscataway,SMCRMINFT,Finish Good ,81.33,1080,1080
Piscataway,T10210FT,Finish Good ,8.02,2410,2410
Piscataway,5015,Ingredient ,13.23,29.99996,30
Penn Dairy,255,Ingredient ,0.35,-0.00152,0
Penn Dairy,465,Ingredient ,3.6,4023.39732,4023.4
Penn Dairy,355,Ingredient ,4.2,1901.46,1901.47
Piscataway,189,Packaging,0.01,654396.568,654422
Piscataway,390,Ingredient ,4.42,-0.05275,0
Piscataway,00133COR,Packaging,0.27,24989,24990
Piscataway,425,Ingredient ,6.96,-0.07033,0
Piscataway,247,Ingredient ,14.2,-0.05275,0
Piscataway,529,Ingredient ,5.05,64,64.16
Piscataway,393,Ingredient ,19.84,-0.07033,0
Penn Dairy,425,Ingredient ,6.96,2251.5606,2251.78
Piscataway,360,Ingredient ,10.14,-0.17582,0
Penn Dairy,5026,Ingredient ,15.09,458.27,458.41
Penn Dairy,460,Ingredient ,18.33,-0.2,0
Piscataway,361,Ingredient ,0.18,11329.4,11350
Piscataway,249,Ingredient ,8.2,63.84254,64.37
Piscataway,1882,Packaging,0,2045721,2047514
Penn Dairy,249,Ingredient ,8.2,117.12,119.26
Piscataway,47,Packaging,0.3,191166,191300
Piscataway,1886,Packaging,0.01,283353,294480
Piscataway,1885,Packaging,0.01,248029,261760
Piscataway,001819A,Packaging,0.01,328517,343560
Lithuania,00133COR,Packaging,0.27,-500,0
Penn Dairy,357,Ingredient ,2.45,6363.95,6418.87
Penn Dairy,360,Ingredient ,10.14,3676.96,3690.3
Piscataway,57,Packaging,0.1,123310,124800
Piscataway,1887,Packaging,0.01,559833,588960
Piscataway,001688G,Packaging,0.03,260980,267450
Piscataway,00174A,Packaging,0.01,1466718,1505120
Piscataway,T10150FT,Finish Good ,4.55,1532,1577
Piscataway,63,Packaging,0.23,41620,42640
Piscataway,001999B,Packaging,0.28,31230,32070
Piscataway,00109MINCSL,Packaging,0.65,14189,14625
H&F,T10160FT,Finish Good ,4.55,-63,0
Piscataway,001705G,Packaging,0.04,47100,55500
Piscataway,60,Packaging,0.11,105843,109304
E-Comm,T10080FT,Finish Good ,5.23,57,131
Penn Dairy,388,Ingredient ,5.88,1067.1,1133.16
E-Comm,T10120FT,Finish Good ,4.54,10,98
E-Comm,190,Packaging,0.33,8566,9826
Piscataway,00168G(B),Packaging,0.03,107590,126900
E-Comm,E-Comm,Finish Good ,4.82,-26,102
Piscataway,001693G(B),Packaging,0.03,191900,216000
E-Comm,T10181FT,Finish Good ,6.06,-106,0
E-Comm,T10330FT,Finish Good ,4.91,-137,0
Piscataway,351,Ingredient ,0.67,87693.84,88700
E-Comm,T10311FT,Finish Good ,5.09,-140,0
H&F,T10150FT,Finish Good ,4.55,-172,0
Penn Dairy,247,Ingredient ,14.2,69.23,136.58
Piscataway,1MIN1191FT,WIP,0.26,78162,81902
Piscataway,00140C,Packaging,0.28,32364,36000
E-Comm,E-Comm,Finish Good ,5,25,227
Piscataway,494,Ingredient ,10.77,342.8,440
E-Comm,E-Comm M.Berry,Finish Good ,6.18,63,241
Piscataway,1673,Packaging,0.08,98060,112500
Piscataway,T10080FT,Finish Good ,5.23,-51,179
H&F,CH002-LS,Coating,1.14,13174,14249
Penn Dairy,464,Ingredient ,63.2,153.08782,173
Piscataway,56,Packaging,0.1,174668,188000
E-Comm,T10036FT,Finish Good ,5.9,-170,70
Piscataway,T10320FT,Finish Good ,5.06,835,1157
Piscataway,2009,Packaging,0.97,10640,12500
Piscataway,T10300FT,Finish Good ,4.85,-389,0
E-Comm,E-Comm,Finish Good ,4.63,269,704
Piscataway,2013,Packaging,0.67,1406,4500
E-Comm,E-Comm,Finish Good ,7.87,24,331
Penn Dairy,453,Ingredient ,18.65,231.68,361.88
Piscataway,T10330FT,Finish Good ,4.91,1772,2274
Piscataway,359,Ingredient ,92.79,79.9,110
Piscataway,MIN010FT,Finish Good ,13.32,1177,1412
Piscataway,00161G(B),Packaging,0.03,788370,908900
Piscataway,001693G(B),Packaging,0.03,93000,216000
Piscataway,00189B,Packaging,0.01,196320,883440
H&F,P10151Y,Yogurt,2.47,3662.5,5200
Piscataway,T10181FT,Finish Good ,6.06,761,1419
Piscataway,58,Packaging,0.1,192902,236000
Piscataway,325,Ingredient ,1.45,173898,177000
Piscataway,00112G,Packaging,0.03,300,171450
E-Comm,T10136FT,Finish Good ,5.57,-17,990
Piscataway,357,Ingredient ,2.45,116558,119064
Piscataway,F10037FT,Finish Good ,15.58,286,781
Penn Dairy,351,Ingredient ,0.67,4979.33,20130
Piscataway,T10010FT,Finish Good ,4.52,2316,5384
Piscataway,00161G(B),Packaging,0.02,117450,908900
Penn Dairy,495,Ingredient ,51.13,778.72,1547.68
